0	ADJ	0
1	ADV	0
2	AHI	0
3	AdjP	0
4	BW	0
5	CP	0
6	DETP	0
7	INF	0
8	LID	0
9	MWU	0
10	N	0
11	NP	0
12	OTI	0
13	PP	0
14	PPART	0
15	PPRES	0
16	PUNCT	0
17	REL	0
18	SMAIN	0
19	SSUB	0
20	SV1	0
21	SVAN	0
22	TI	0
23	TSW	0
24	TW	0
25	VG	0
26	VNW	0
27	VZ	0
28	WHQ	0
29	WHREL	0
30	WHSUB	0
31	->	2
32	->□app	2
33	->□det	2
34	->□mod	2
35	->□predm	2
36	->◇cmpbody	2
37	->◇cnj	2
38	->◇cor	2
39	->◇hdf	2
40	->◇ld	2
41	->◇me	2
42	->◇mwp	2
43	->◇obcomp	2
44	->◇obj1	2
45	->◇obj2	2
46	->◇pc	2
47	->◇pobj1	2
48	->◇predc	2
49	->◇relcl	2
50	->◇se	2
51	->◇su	2
52	->◇sup	2
53	->◇svp	2
54	->◇vc	2
55	->◇whbody	2
56	□app->	2
57	□det->	2
58	□mod->	2
59	□predm->	2
